|2002_naics|2002_naics_title|sic|sic_title_and_note|filename|end|start
1586|512220.0|Integrated Record Production/Distribution|3652.0|Phonograph Records and Prerecorded Audio Tapes and Disks (integrated record companies, except duplication only)|2002_NAICS_to_1987_SIC.xls|1987|2002
1587|512230.0|Music Publishers|2731.0|Books: Publishing, or Publishing and Printing (music books)|2002_NAICS_to_1987_SIC.xls|1987|2002
1588|512230.0|Music Publishers|2741.0|Miscellaneous Publishing (sheet music publishing or publishing and printing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1589|512230.0|Music Publishers|8999.0|Services, NEC (music publishing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1590|512240.0|Sound Recording Studios|7389.0|Business Services, NEC (recording studios)|2002_NAICS_to_1987_SIC.xls|1987|2002
1591|512290.0|Other Sound Recording Industries|7389.0|Business Services, NEC (audio taping services)|2002_NAICS_to_1987_SIC.xls|1987|2002
1592|512290.0|Other Sound Recording Industries|7922.0|Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services (producers of radio programs)|2002_NAICS_to_1987_SIC.xls|1987|2002
1593|515111.0|Radio Networks|4832.0|Radio Broadcasting Stations (networks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1594|515112.0|Radio Stations|4832.0|Radio Broadcasting Stations (except networks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1595|515120.0|Television Broadcasting |4833.0|Television Broadcasting Stations |2002_NAICS_to_1987_SIC.xls|1987|2002
1596|515210.0|Cable and Other Subscription Programming|4841.0|Cable and Other Pay Television Services (cable networks)|2002_NAICS_to_1987_SIC.xls|1987|2002
1597|516110.0|Internet Publishing and Broadcasting|2711.0|Newspapers: Publishing, or Publishing and Printing (Internet newspaper publishing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1598|516110.0|Internet Publishing and Broadcasting|2721.0|Periodicals: Publishing, or Publishing and Printing (Internet periodical publishing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1599|516110.0|Internet Publishing and Broadcasting|2731.0|Books: Publishing, or Publishing and Printing (Internet book publishing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1600|516110.0|Internet Publishing and Broadcasting|2741.0|Miscellaneous Publishing (miscellaneous Internet publishing)|2002_NAICS_to_1987_SIC.xls|1987|2002
1601|516110.0|Internet Publishing and Broadcasting|2771.0|Greeting Cards (Internet greeting card publishers)|2002_NAICS_to_1987_SIC.xls|1987|2002
