filename|year|standard|code|title
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1423|Crushed and Broken Granite
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1429|Crushed and Broken Stone, NEC
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1499|Miscellaneous Nonmetallic Minerals, Except Fuels (bituminous limestone and bituminous sandstone)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1442|Construction Sand and Gravel
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1446|Industrial Sand
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1455|Kaolin and Ball Clay
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|3295|Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of kaolin and ball clay)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1459|Clay, Ceramic, and Refractory Minerals, NEC
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|3295|Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of clay, ceramic, and refractory minerals nec)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1474|Potash, Soda, and Borate Minerals
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1475|Phosphate Rock
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1479|Chemical and Fertilizer Mineral Mining, NEC
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|3295|Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of chemical and fertilizer minerals, nec)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1499|Miscellaneous Nonmetallic Minerals, Except Fuels (except bituminous limestone and bituminous sandstone)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|3295|Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of nonmetallic minerals, nec)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1381|Drilling Oil and Gas Wells
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1382|Oil and Gas Field Exploration Services (except geophysical mapping and surveying)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1389|Oil and Gas Field Services, NEC (except construction of field gathering lines, site preparation and related construction activities performed on a contract or fee basis)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1241|Coal Mining Services (except site preparation and related construction activities on a contract basis)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1081|Metal Mining Services (except site preparation and related activities performed on a contract or fee basis and geophysical surveying and mapping)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1481|Nonmetallic Minerals Services, Except Fuels (except geophysical surveying and mapping and site preparation and related construction activities performed on a contract or fee basis)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4911|Electric Services (hydroelectric power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (hydroelectric power generation) 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (hydroelectric power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4911|Electric Services (fossil fuel power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (fossil fuel power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (fossil fuel power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4911|Electric Services (nuclear electric power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (nuclear power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (nuclear power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4911|Electric Services (other electric power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (other electric power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (other electric power generation)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4911|Electric Services (electric power transmission and control)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (electric power transmission and control)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (electric power transmission and control) 
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4911|Electric Services (electric power distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (electric power distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (electric power distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4923|Natural Gas Transmission and Distribution (distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4924|Natural Gas Distribution
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4925|Mixed, Manufactured, or Liquefied Petroleum Gas Production and/or Distribution
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4931|Electric and Other Services Combined (natural gas distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4932|Gas and Other Services Combined (natural gas distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4939|Combination Utilities, NEC (natural gas distribution)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4941|Water Supply
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4971|Irrigation Systems
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4952|Sewerage Systems
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|4961|Steam and Air-Conditioning Supply
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1521|General Contractors--Single Family Houses (except remodeling contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (single-family housing construction management)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1522|General Contractors - Residential Buildings Other Than Single-Family (except remodeling contractors, hotel and motel construction contractors, and dormitory and barrack construction contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (multifamily housing construction management)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1531|Operative Builders (residential operative builders)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1521|General Contractors - Single-Family Houses (remodeling contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1522|General Contractors - Residential Buildings Other Than Single-Family (remodeling contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1531|Operative Builders (residential operative remodelers)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (residential remodeling construction management)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1531|Operative Builders (Operative builders of industrial and manufacturing buildings except grain elevators, dry cleaning plants, and manufacturing and industrial warehouses)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1541|General Contractors Industrial Buildings and Warehouses ( except grain elevators; drycleaning plants; and manufacturing, public, and industrial warehouses)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1629|Heavy Construction, NEC (Industrial nonbuilding structures [except petrochemical plants and petroleum refineries])
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (industrial building and nonbuilding structure construction management)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1522|General Contractors - Residential Buildings Other Than Single-Family (dormitory, barrack, hotel, and motel construction contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1531|Operative Builders (grain elevator, dry cleaning plant, and manufacturing and industrial warehouse operative builders)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1541|General Contractors - Industrial Buildings and Warehouses (general contractors of grain elevators; dry cleaning plants; and manufacturing, industrial, and public warehouses)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1542|General Contractors - Nonresidential Buildings, Other than Industrial Buildings and Warehouses
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1799|Special Trade Contractors, NEC (indoor swimming pool construction contractors)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|8741|Management Services (commercial and institutional building construction management)
2002_NAICS_to_1987_SIC.xls|1987-01-01  0:00:00|sic|1623|Water, Sewer, Pipeline, and Communications and Power Line Construction (water and sewer pipelines and related construction)
